index,nom,titre,motCles,periode,dateNaissance,dateMort,dateApprox,lieu,adresse,latitude,longitude,miniBio,lienPhoto,lienWiki
11,Isabeau de Bonzi,Marquise de Castries,"aristocrate, précieuse, salonnière, littérature galante, Thomas de Rosset",4,1626,,,"31, rue Saint-Guilhem, Montpellier","31, rue Saint-Guilhem, Montpellier",43.609169,3.874291,"Isabeau de Bonzi, née en 1626 à Mantoue en Italie, devient célèbre suite à son mariage avec le
lieutenant général du Languedoc et gouverneur de Montpellier, de quinze ans son aîné, Réné-Gaspard de la Croix, marquis de Castries. Le couple habite dans un hôtel particulier au 31 de la rue Saint-Guilhem.
Isabeau de Castries occupe une place prépondérante dans l’ouvrage de Thomas de Rosset, publié en 1660, Portraits des plus belles dames de Montpellier. Elle est réputée pour ses attraits physiques et moraux  ; elle est connue sous le nom de «  Corinne  » dans les salons précieux montpelliérains et parisiens. Elle passe pour l'un des plus beaux esprits de la ville.
Isabeau de Castries est la sœur aînée du cardinal de Bonzi, célèbre pour sa liaison avec Jeanne de Gévaudan, comtesse de Ganges.",https://commons.wikimedia.org/wiki/File:Troy-Marquise_de_Castries.JPG,https://fr.wikipedia.org/wiki/Famille_de_La_Croix_de_Castries
12,Françoise de la Croix de Castries,,"aristocrate, précieuse, salonnière, littérature galante",4,,,1670,Castries,Castries,43.678060,3.986972,"Fille du marquis de Castries, René de la Croix, elle est née du premier mariage de son père  ; elle est donc la belle-fille d’Isabeau de Bonzi, la seconde épouse du marquis de Castries. Comme Isabeau, Françoise fréquente les salons précieux, où elle est surnommée «  Cléobuline  ».",,
13,Françoise de La Roche,,"aristocrate, précieuse, salonnière, littérature galante, Thomas de Rosset",4,1630,1721,,"13 rue de la Croix d'or, Montpellier","13 rue de la Croix d'or, Montpellier",43.609076,3.877968,"Françoise de Rozel, née en 1630, épouse en 1650 Claude de la Roche, président de la Cour des comptes de Montpellier. Elle décède en 1721. Le couple réside 13 rue de la Croix d’or, où séjourne Madame de Sévigné, lors de son passage à Montpellier en 1672. 
Elle a la réputation d’être l’une des plus belles et des plus élégantes de Montpellier. Elle passe pour l'un des plus beaux esprits de la ville, et figure en bonne place parmi les Portraits des plus belles dames de Montpellier de Thomas de Rosset (1660).",,
14,Anne-Madelaine de Conty d'Argencourt,,"aristocrate, Louis XIV, scandale, repentie, dame de charité",4,1641,,,"rue de la Monnaie, Montpellier","rue de la Monnaie, Montpellier",43.610629,3.879197,"Fille de madame de La Motte-d'Argencourt, baptisée à Montpellier en 1641, elle est connue pour la finesse de ses traits, et aurait joué sur scène dans le ballet de Molière Les incompatibles, lors de la création à Montpellier en janvier ou février 1655.
Nommée en 1657 dame de compagnie de la reine-mère, Anne d’Autriche (1601–1666), elle devient la maîtresse du roi Louis XIV. Repentie de sa vie légère et agitée à la Cour, elle se retire au couvent parisien des Filles de Sainte-Marie de Chaillot. Elle fait don par testament de son immeuble de Montpellier (rue de la Monnaie) à la congrégation des Dames de la Miséricorde afin qu’elles aident les malades.",http://favoritesroyales.canalblog.com/archives/2012/07/26/24782600.html,https://fr.wikipedia.org/wiki/Anne-Madeleine_de_Conty_d%27Argencourt
15,Gabrielle de Gévaudan,épouse Mariotte,"aristocrate, précieuse, salonnière, littérature galante, Thomas de Rosset",4,1641,1708,,"3 rue de l'Aiguillerie, Montpellier","3 rue de l'Aiguillerie, Montpellier",43.610508,3.877375,"Née en 1641, Gabrielle de Gévaudan est la sœur aînée de Jeanne de Gévaudan. Elles sont toutes deux réputées pour êtres les plus belles dames de la ville, bien que Jeanne soit considérée pour ses traits physiques et Gabrielle pour son intelligence, comme nous le montre les Lettres de Madame Dunoyer. 
Gabrielle épouse en 1658 Henri de Mariotte, président de la Cour des comptes et de quarante ans son aîné, avec qui elle loge dans un hôtel particulier du 3 rue de l’Aiguillerie, à l’angle de la rue de la Loge. 
Thomas de Rosset, ami proche du frère d’Henri de Mariotte, la fait figurer en bonne place dans ses Portraits des plus belles dames de Montpellier (1660)  : l’auteur loue son intelligence, son ambition et son fort caractère. Elle est l’archétype de la «  femme savante  » du 17e siècle.",,
16,Jeanne de Gévaudan,comtesse de Ganges,"aristocrate, précieuse, salonnière, littérature galante, scandale",4,1643,,,"place Chabaneau, Montpellier","place Chabaneau, Montpellier",43.611549,3.876109,"Née en 1643, elle est la seconde fille de Charles de Gévaudan, conseiller-juge au présidial de Nîmes, et la jeune sœur de Gabrielle de Gévaudan.
Elle est la maîtresse du cardinal Pierre de Bonzi, qui fait construire pour elle un palais place Chabaneau (l’hôtel de Ganges, occupé aujourd’hui par la préfecture). Pour faire taire les rumeurs autour de sa liaison, elle épouse en 1689 avec François de Vissec de la Tude, comte de Ganges.",,
17,Françoise de Bon,baronne de Murles,"aristocrate, précieuse, salonnière, littérature galante, Thomas de Rosset",4,1644,,,"rue de la Providence, Montpellier","rue de la Providence, Montpellier",43.614045,3.875624,"Née en 1644, Françoise de Bon épouse en 1659 François de Montlaur, baron de Murles. Ils vivent à Montpellier dans une maison située au bas de la rue de la Providence. Thomas de Rosset, dans son ouvrage Portraits des belles dames de Montpellier (1660), la décrit comme l’incarnation d’une noblesse sans artifices.
Photo en fichier joint",,
18,Judith de Saussure,,"aristocrate, Voltaire, scandale, salonnière",5,1745,1809,,Montpellier,,,,"Née à Genève en 1745 et décédée en 1809, Judith de Saussure fait la connaissance de Voltaire en 1768, à 28 ans  : une rumeur lui prête une liaison avec le grand philosophe, de cinquante ans son aîné. Surnommée « la Messaline de Genève », elle se réfugie à Montpellier en 1777 pour fuir le scandale et soigner sa santé fragile. Elle s’intègre alors dans la bonne société et tient salon en ville.",,
19,Demoiselle Pagès,,"bourgeoise, presse, femme chef d'entreprise, pionnière",5,,,1750,Montpellier,,,,"Epouse du sieur Marinier, elle crée et dirige, entre 1770 et 1774, la première feuille hebdomadaire montpelliéraine.",,
20,Marie Blayne,,"femme du peuple, protestante, femme d'engagement, condamnée à mort",5,,1723,,"5 rue des Multipliants, Montpellier","5 rue des Multipliants, Montpellier",43.608660,3.874757,"Demeurée protestante alors que le protestantisme est interdit en France depuis la révocation de l’édit de Nantes en 1685, Marie Blayne organise des cultes protestants clandestins dans une maison au numéro 5 de la rue des Multipliants. Dénoncée, elle est arrêtée  : condamnée à mort comme «  prophétesse  » et prédicante, elle est pendue le 22 avril 1723.
Elle est le seul nom féminin figurant sur la stèle commémorative, inaugurée en 2008 sur l’Esplanade de Montpellier, en mémoire des 35 prédicants huguenots exécutés.",,
21,Elisabeth Coste,,"femme du peuple, commerçante, affaire des galettes, condamnée à mort",5,,1794,,"Halles Castellane, Montpellier","Halles Castellane, Montpellier",43.610407,3.876457,"Marchande à Montpellier, elle est condamnée pour vol de farine et fabrication clandestine de galettes  : elle est guillotinée pour l’exemple le 8 avril 1794.",,
22,Catherine Trillet,,"femme du peuple, scandale, libertinage, muse, Sade",5,1756,,,"Chateau de Lacoste, Vaucluse","Chateau de Lacoste, Vaucluse",43.832428,5.271761,"Née en 1756, elle est la fille d’un tisseur de couverture. A 22 ans, en 1786, elle devient la cuisinière du marquis de Sade. Suite à un scandale sexuel qui éclabousse le marquis, le père de la jeune fille essaye de la sauver « des entreprises d’un débauché ». Sade s’est inspiré de cette jeune fille pour créer l’une des héroïnes de son roman Justine ou les malheurs de la vertu.",,
23,Jeanne-Marie Latour,La Belle Montpelliéraine,"bourgeoisie, scandale, libertinage, Casanova",5,,,1750,Montpellier,,,,"Jeanne-Marie Latour rencontre Casanova à deux reprises, à Londres en 1763, et à Leipzig et Dresde en 1766. La relation amoureuse qu’ils entretiennent laisse à Casanova un souvenir impérissable. En janvier 1769, de passage à Montpellier, Casanova souhaite revoir celle qu’il considère comme l’une des plus jolies femmes de France. Sachant seulement qu’elle est l’épouse d’un apothicaire, il visite toutes les boutiques d’apothicaires afin de retrouver la belle.",,
24,Albine de Vassal,Comtesse de Montholon,"aristocrate, scandale, Napoléon Ier, repentie",6,1780,1848,,Montpellier,,,,"Née en 1780, Albine de Vassal est la fille du marquis de Vassal, receveur général des finances en Languedoc. Durant la Révolution française, elle vit recluse avec sa famille dans leur château de la Fertelle, près de Montpellier. En 1815, elle suit son troisième mari, le Comte Charles de Montholon, qui accompagne l’empereur Napoléon 1er dans son exil sur l’île de Sainte-Hélène. Albine devient le dernier amour de Napoléon. En 1818, elle met au monde une petite fille, Joséphine-Napoléone, qui pourrait être la fille naturelle de l’Empereur, même si officiellement elle n’est que sa filleule. De retour en France, revenue à la religion, elle se retire à Montpellier, où elle décède en 1848  : sa dépouille est déposée dans un sarcophage de verre dans la crypte de la Chapelle des Pénitents bleus, rue des Etuves.",http://johntyrrell.blogspot.fr/2010/12/ladies-of-longwood-albine-de-montholon.html,https://fr.wikipedia.org/wiki/Albine_de_Montholon
25,Madame Louis Figuier,,"bourgeoisie, protestante, historienne",6,1829,,,Montpellier,,,,"Née en 1829, Juliette Bouscaren est issue de la bourgeoisie protestante. Elle épouse Louis Figuier, et se fait un nom en tant qu’historienne et ethnologue. Elle publie notamment Scènes et souvenirs du Bas-Languedoc en 1860.",,
26,Mère Saint-Philippe de Vacquier,,"religieuse, catholique, enseignante, fondatrice",6,,,1844,"Plan Cabanes, Montpellier","Plan Cabanes, Montpellier",43.608638,3.868076,"Grâce à sa fortune, elle ouvre en 1844 la pension Notre-Dame de la Merci au plan Cabanes. Cet établissement apprend les arts d’agrément et les savoirs-faires pour les futures épouses, mères et maîtresses de maison.",,
27,Virginie Montagnol,,"religieuse, catholique, fondatrice",6,1812,1875,,Montpellier,,,,"Virginie Montagnol (1812-1875) contracte à 18 ans la fièvre typhoïde  : elle échappe à la mort, et voit dans sa guérison la protection de la Vierge Marie. Après la mort de ses parents, ruinés par des revers de fortune, elle décide de venir à Montpellier pour entrer dans la congrégation des Filles de la charité à l’Hôpital général. En 1845, elle rencontre le père André Soulas et fonde avec lui les Sœurs garde-malades de Notre-Dame auxiliatrice, les premières infirmières à domicile. Elle devient la mère supérieure de la congrégation, dont elle obtient la reconnaissance par le pape lors d’un voyage à Rome en 1871.",http://www.amisdelunas.fr/histoire-contemporaine/figures-lunassiennes/montagnol/virginie-montagnol.htm ,
28,Soeur Chagny,,"religieuse, catholique, fondatrice",6,,,1850,"Hopital Saint-Eloi, Montpellier",,,,"Supérieure de l’hôpital Saint-Eloi pendant 48 ans (entre 1826 et 1874), elle remarque l’intelligence d’un jeune domestique sourd-muet, et lui confie l’instruction de deux autres jeunes sourds-muets. Elle fonde ensuite, en 1850, l’Institut pour les sourds-muets et jeunes aveugles de Montpellier, rue Saint-Vincent de Paul.",,
29,Demoiselle Doumergue,,"étudiante, diplémée, pharmacienne, pionnière",6,1849,,,Montpellier,,,,"Née en 1849, elle obtient une autorisation spéciale pour suivre des cours dans des écoles supérieures. En 1874, elle est diplômée de pharmacie.",,
30,Louise Guiraud,,"bourgeoise, dame de charité, historienne, enseignante, pionnière",6,1860,1918,,"Société Archéologique 5 Rue des Trésoriers de France, Montpellier",,,,"Née en 1860, elle est la fille d’un négociant de draps. Elle se fait connaitre par son érudition et ses études historiques et archéologiques, chose rare à l’époque pour une femme. Elle joue un rôle décisif dans la mise au jour de la crypte de Notre-Dame-des-Tables, puis dans la création du musée lapidaire. En 1891, elle est élue à la Société archéologique de Montpellier. Dame d’œuvres, elle ouvre un cours privé pour que des jeunes filles puissent passer le baccalauréat  ; durant la Grande Guerre, elle se dévoue au chevet des malades. Elle meurt prématurément en 1918, à la veille de la publication de son œuvre majeure : La Réforme à Montpellier, ouvrage qui reste encore aujourd’hui une référence.",,https://fr.wikipedia.org/wiki/Louise_Guiraud
31,Vicomtesse Jeanne de Charrin,,"aristocrate, dame de charité, catholique",6,1860,1935,,Montpellier,,,,"Née en 1860 et morte en 1935, elle est le modèle de la femme de la bonne société catholique socialement engagée. Veuve en 1896, elle devient bénévole à l’orphelinat de la Providence, puis à la « Protection des jeunes filles », après avoir élevé ses enfants. Elle cofonde le dispensaire Jeanne d’Arc. Elle est considérée par le Cardinal de Cabrières comme « la sainte de Montpellier ». ",,
32,Marie Reynès-Monlaur,,"catholique, écrivaine, pionnière",6,1866,1940,,"Rue de la vieille intendance, Montpellier","Rue de la vieille intendance, Montpellier",43.611969,3.875761,"Née en 1866, décédée 1940, elle est une romancière à succès et une grande figure catholique. En 1916, elle est la première femme élue à l’Académie des Sciences et Lettres de Montpellier.",https://www.cultura.com/marie-reynes-monlaur-9782740312551.html ,https://fr.wikipedia.org/wiki/Marie_Reyn%C3%A8s-Monlaur
33,Marie Giniez,,"dame de charité, diplômée",6,1859,1924,,Montpellier,,,,"Née en 1859, décédée en 1924, Marie Marès, épouse Giniez, participe à des activités bénévoles. Longtemps dame de charité comme le veut la tradition de son milieu, Marie Giniez passe son diplôme d’infirmière de la Croix-Rouge pendant la première Guerre Mondiale.",,
34,Paule Minc,,"journaliste, socialiste, féministe, écrivaine, scandale",6,1839,1901,,Paris,,,,"Journaliste, socialiste et féministe, elle provoque un scandale en 1882 à Montpellier  : elle dénonce avec virulence le refus de la municipalité d’enregistrer la naissance de son fils sous les prénoms de « Lucifer Blanqui Vercingétorix ».",https://en.wikipedia.org/wiki/Paule_Mink ,https://en.wikipedia.org/wiki/Paule_Mink 
35,Lydie Wilson ,,"écrivaine, poétesse occitane, anglaise, scandale, féministe",6,1850,1880,,"Mas de l'alouette, plan des Quatre Seigneurs, Montpellier","Mas de l'alouette, plan des Quatre Seigneurs, Montpellier",43.637501,3.852779,"Elle est surnommée la « Félibresse rouge ». Elle arrive à Montpellier en 1874 suite à son mariage avec l’écrivain Xavier de Ricard, se fait connaître pour ses poèmes en langue d’oc et pour son engagement républicain et féministe. Elle demande en 1880 des obsèques civiles à Montpellier, une véritable provocation à une époque où les funérailles ne sont pas libres et les cimetières pas encore laïcisés.",https://fr.wikipedia.org/wiki/Lydie_Wilson ,https://fr.wikipedia.org/wiki/Lydie_Wilson 
36,Augusta Barbet,baronne Huc,"aristocrate, salonnière",6,1814,1860,,Montpellier,,,,"Née en 1814, Augusta Barbet est la fille d’un receveur général des finances de l’Hérault. Elle épouse le baron Charles Huc. Veuve en 1854, elle épouse en secondes noces Raymond-Joseph Estève, un ancien avoué, puis, au décès de celui-ci, elle convole à nouveau avec Louis-Amédée Bonnal, un étudiant en médecine de plus de vingt ans son cadet. Elle meurt en 1860. Les textes la décrivent comme étant d'un raffinement extrême lorsqu’elle se rend au théâtre  ; la rumeur lui prête de nombreux amants. Elle prend le parti de la modernité : Son salon rassemble indifféremment catholiques et protestants, nobles et grands bourgeois roturiers, légitimistes et orléanistes. ",,
37,Marie Joséphine Anne Fabrège,,"bourgeoise, catholique, cathédrale de Maguelone, dame de charité, salonnière",6,1817,1873,,"33 Grand-rue, Montpellier","33 Grand-rue, Montpellier",43.607712,3.877292,"Marie Joséphine Anne Reynès (1817-1873) épouse Jacques Bonaventure Fabrège, propriétaire d’un commerce de luxe. C’est une femme très cultivée. Elle tient un salon dans son hôtel particulier, 33 Grand-rue. Marquée par la mort prématurée de sa fille à l’âge de 10 ans, Marie Joséphine Fabrège se consacre dès lors à des œuvres de charité. Sa foi la guide jusqu'à Rome, où elle se rend accompagnée de son fils Frédéric en 1862. Avec ce dernier, elle rénove activement la cathédrale de Maguelone, dont la famille a fait l'acquisition en 1852.",https://www.flickr.com/photos/renaud-camus/32417454016 ,
38,Camille Vialars,épouse Bazille,"bourgeoise, protestante, dame de charité, salonnière",6,1821,,,"11 Grand-rue, Montpellier","11 Grand-rue, Montpellier",43.608481,3.878474,"Née à Toulouse en 1821, Camille Victorine Marguerite Vialars épouse en 1840 l’avocat Gaston Bazille, un riche montpelliérain, fils de négociants protestants. Elle préside des réceptions tous les jeudis dans le salon de son hôtel particulier, 11 Grand’rue, ou bien au domaine de Méric. Elle est connue pour être un modèle de vertu et d’élégance  : elle est décrite en 1852 par le maire de la ville, Jules Pagézy, comme étant «  la plus belle femme de Montpellier  ». C’est également la présidente du Comité de bienfaisance des dames protestantes. Elle est la mère du peintre Frédéric Bazille, qui la représente en 1867 sur son célèbre tableau La réunion de famille.", http://www.rivagedeboheme.fr/pages/arts/oeuvres/frederic-bazille-reunion-de-famille-1867.html,
39,Maria del Pilar de San Menat,,"espagnole, aristocrate, salonnière, dame de charité",6,1806,,,"rue Salle-l'évêque, Montpellier","rue Salle-l'évêque, Montpellier",43.612551,3.880046,"Née à Cadix en 1806, elle épouse en 1824 Constantin de Dax, marquis d'Axat et maire de Montpellier de 1814 à 1830. Elle habite dans la rue Salle-l'Évêque. Jules Renouvier en fait un portrait particulièrement élogieux, où il la dépeint comme une «  madone  » de la société aristocratique.",,
40,Marie Brondel de Roquevaire,baronne de Rovira,"aristocrate, féministe, muse",6,1852,,,"22 Grand-rue, Montpellier","22 Grand-rue, Montpellier",43.608239,3.877916,"Née le 22 septembre 1852 à Montpellier, Marie-Françoise-Gabrielle-Sylvie Brondel de Roquevaire épouse en mai  1871 Charles de Rovira, le frère de son beau-père, baron d’origine catalane, de quinze ans son aîné, qui décède prématurément à l’âge de 49  ans en avril  1887. 
Elle représente un modèle de femme moderne  : elle fume et va au Café de France sur la place de la Comédie, elle a fait installer dans son hôtel particulier au 22 de la Grand-rue une salle de culture physique. Elle fait chavirer le cœur du jeune Paul Valéry, qui l’aime en secret sans jamais oser l’aborder  : Paul Valéry lui écrit des lettres, compose des vers, la dessine, mais ne lui donnera jamais aucune de ces œuvres.",https://cimetieresdemontpellier.wordpress.com/biographies/rovira-madame-de/,
41,Madame Hélène Tissié,,"bourgeoise, protestante, dame de charité",7,1855,1945,,"3 rue de la Vieille, Montpellier","3 rue de la Vieille, Montpellier",43.609757,3.877135,"De confession protestante, Hélène Nairac de Ferrières (1855-1945) est l’épouse du banquier Alphonse Tissié. Elle ouvre en 1914 l’association «  Les Amies de la Jeune Fille  », dans un immeuble au 3 rue de la Vieille, près de la Place Castellane. L’établissement prendra par la suite le nom de «  Foyer de la jeune fille  ». Cette association donne aux jeunes filles, logement, soins, éducation, formation et emploi.",,
42,Hélène de Savoie,reine d'Italie,"reine, italienne, médecine",7,1873,1952,,"Mas de Rouel, rue des Bleuets, Montpellier","Mas de Rouel, rue des Bleuets, Montpellier",43.606060,3.847271,"Hélène de Savoie (1873-1952) est l’épouse du dernier roi d’Italie Victor-Emmanuel III. En exil depuis la chute de la monarchie italienne, elle vient en 1950 se faire soigner pour un cancer à Montpellier, ville réputée depuis le Moyen-Age pour sa médecine. Sur la façade du Mas de Rouel, où elle vécut ses derniers mois, une plaque rappelle le caractère historique de cette vaste demeure où la souveraine conviait les Grands de ce monde.
Hélène de Savoie est enterrée au cimetière Saint-Lazare  ; un buste la représentant, est inauguré en son honneur, à l’angle de l’avenue Saint-Lazare et de la rue «  Hélène-de-Savoie  ». Sa dépouille est finalement rapatriée en Italie en 2017.",https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_de_Mont%C3%A9n%C3%A9gro ,https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_de_Mont%C3%A9n%C3%A9gro 
43,Emma Calvé,,"chanteuse, célébrité",7,1858,1942,,"72 avenue de Lodève, Montpellier","72 avenue de Lodève, Montpellier",43.610268,3.860244,"Originaire de l’Aveyron, Emma Calvé (1858-1942) est l’une des cantatrices les plus mythiques de la Belle Epoque, applaudie aux quatre coins du monde, de la Scala de Milan au Metropolitan Opera de New-York. Elle s’installe pendant un temps à Montpellier, où elle fait construire une villa baptisée «  Harmonie  », 72 avenue de Lodève.",https://fr.wikipedia.org/wiki/Emma_Calv%C3%A9,https://fr.wikipedia.org/wiki/Emma_Calv%C3%A9
44,Juliette Gréco,,"chanteuse, célébrité",7,1927,,,"2 rue Doria, Montpellier","2 rue Doria, Montpellier",43.612316,3.867013,"Grande dame de la chanson française, Juliette Gréco est née en 1927 à Montpellier. En 2012, elle est faite citoyenne d'honneur de la ville de Montpellier, et une plaque commémorative est apposée sur sa maison natale, 2 rue Doria.",https://fr.wikipedia.org/wiki/Juliette_Gr%C3%A9co ,https://fr.wikipedia.org/wiki/Juliette_Gr%C3%A9co 
